fold,branch,cancer,train_cindex,val_cindex
1,uni,GBMLGG,0.7634334746859384,0.7627093740816926
1,mlp,GBMLGG,0.6172966860747692,0.7035703790772847
2,uni,GBMLGG,0.8435913276830704,0.8118366034094564
2,mlp,GBMLGG,0.7722454968434466,0.760694757156642
3,uni,GBMLGG,0.7970089770943198,0.7526223776223776
3,mlp,GBMLGG,0.7760702856107723,0.7639131701631702
4,uni,GBMLGG,0.8067218022028629,0.7922034465450896
4,mlp,GBMLGG,0.7369900602525233,0.7636774301489041
5,uni,GBMLGG,0.8479448616715254,0.7898215465961665
5,mlp,GBMLGG,0.7562913779085524,0.7903172504957039
