fold,branch,cancer,train_cindex,val_cindex
1,uni,GBMLGG,0.8372671796760675,0.778136937995886
1,geneformer,GBMLGG,0.4962229876614288,0.5
2,uni,GBMLGG,0.8484082089696314,0.7994532003859762
2,geneformer,GBMLGG,0.49082958472498406,0.5054679961402381
3,uni,GBMLGG,0.8826021361415568,0.7756410256410257
3,geneformer,GBMLGG,0.47584070354269725,0.5093240093240093
4,uni,GBMLGG,0.8273400621713934,0.782332273715911
4,geneformer,GBMLGG,0.4974862800782899,0.50518654843567
5,uni,GBMLGG,0.802988668692773,0.7830469266358229
5,geneformer,GBMLGG,0.5029674018641247,0.5113185723727693
